"","lp100km","cylinders","displacement","horsepower","weight","acceleration","year","origin","name"
"1",9.8,4,1.47483576,75,956.17271596,15.5,74,2,"fiat 128"
"2",11.2,6,3.2774128,85,1173.44346119,16,70,1,"ford maverick"
"3",7.47,4,1.458448696,71,902.6488163,14.9,78,2,"volkswagen scirocco"
"4",12.12,6,3.801798848,90,1456.0315077,17.2,78,1,"amc concord"
"5",13.07,6,3.6870894,105,1415.66178677,16.5,73,1,"plymouth valiant"
"6",8.11,4,1.114320352,49,846.85695479,19.5,73,2,"fiat 128"
"7",12.38,6,3.6870894,100,1646.5403031,17.7,77,1,"plymouth volare custom"
"8",9.05,4,1.999221808,80,1111.75489887,16.5,74,1,"ford pinto"
"9",7.71,4,1.589545208,78,993.3672903,14.1,77,2,"volkswagen dasher"
"10",14.26,6,2.753026752,120,1732.7228534,16.7,76,2,"mercedes-benz 280s"
"11",9.12,4,2.556381984,92,1188.4120094,14.4,81,1,"dodge aries wagon (sw)"
"12",10.14,4,2.556381984,105,1245.11105565,16.7,78,1,"plymouth sapporo"
"13",10.94,6,3.785411784,115,1471.90724065,15.4,79,1,"pontiac lemans v6"
"14",7.44,4,1.96644768,74,1195.21589495,18.3,81,3,"mazda 626"
"15",13.07,6,2.802187944,97,1353.51963208,14.5,75,1,"ford pinto"
"16",15.68,8,4.948893328,130,1948.17922915,14.9,77,1,"mercury cougar brougham"
"17",6.17,4,1.458448696,60,892.66978416,18.8,80,3,"toyota corolla tercel"
"18",18.09,8,5.7354724,175,1859.728717,13,73,1,"buick century 350"
"19",15.68,6,4.096766,72,1432.44470446,19.5,75,1,"ford maverick"
"20",9.8,4,1.851738232,95,1075.92110164,15,70,3,"toyota corona mark ii"
"21",12.25,8,4.99805452,145,1553.55386725,13.2,78,1,"chevrolet monte carlo landau"
"22",8.37,4,2.310576024,80,1465.1033551,20.4,81,2,"peugeot 505s turbo diesel"
"23",9.05,4,1.573158144,69,992.91369793,18,72,2,"renault 12 (sw)"
"24",6.52,4,1.605932272,66,816.466266,14.4,78,1,"ford fiesta"
"25",6.02,4,1.294578056,58,796.05460935,16.9,81,3,"toyota starlet"
"26",6.9,4,1.409287504,65,895.84493075,15.2,79,3,"maxda glc deluxe"
"27",23.52,8,5.030828648,200,1984.92021112,15,70,1,"chevy c20"
"28",7.59,4,1.245416864,52,747.97381813,16.5,74,3,"toyota corona"
"29",9.8,4,1.96644768,97,1128.99140893,15,74,3,"honda civic"
"30",10.69,6,2.392511344,97,1276.86252155,14.5,77,3,"datsun 810"
"31",6.53,4,1.605932272,70,963.88378625,17.3,82,1,"mercury lynx l"
"32",14.7,8,6.5548256,230,1940.46815886,9.5,73,1,"pontiac grand prix"
"33",15.68,8,4.981667456,150,1765.38150404,12.5,72,1,"amc matador (sw)"
"34",10.23,4,1.589545208,54,1022.39720198,23.5,72,2,"volkswagen type 3"
"35",15.18,8,4.981667456,120,1797.13296994,13.9,76,1,"amc matador"
"36",7.84,4,2.392511344,67,1474.1752025,21.8,80,2,"mercedes-benz 240d"
"37",18.09,8,4.948893328,140,1947.72563678,16,72,1,"ford gran torino (sw)"
"38",12.25,8,4.375346088,125,1635.20049385,15,79,1,"chevrolet malibu classic (sw)"
"39",16.8,8,7.21030816,215,1955.89029944,8.5,70,1,"plymouth fury iii"
"40",9.26,6,2.753026752,116,1315.417873,12.6,81,3,"toyota cressida"
"41",13.36,6,3.6870894,85,1571.69756205,16.6,81,1,"chrysler lebaron salon"
"42",15.68,8,5.7354724,145,2013.9501228,14,75,1,"chevrolet bel air"
"43",8.65,4,1.950060616,97,1043.262451,14.7,78,3,"datsun 510"
"44",8.71,4,2.474446664,90,1338.0974915,17.3,82,1,"chevrolet camaro"
"45",16.8,8,4.948893328,140,2103.76141206,16,74,1,"ford gran torino (sw)"
"46",8.4,4,1.589545208,92,1037.81934256,17,72,3,"datsun 510 (sw)"
"47",11.2,6,3.261025736,90,1201.11259576,15,70,1,"amc gremlin"
"48",6.86,4,1.589545208,78,992.46010556,15.8,80,2,"audi 4000"
"49",8.55,4,2.195866576,95,1161.1964672,14.2,78,3,"toyota corona"
"50",13.07,6,3.801798848,100,1491.41171256,15.5,71,1,"amc matador"
"51",21.38,8,5.211086352,210,1987.64176534,13.5,70,1,"dodge d200"
