"","lpk","228.6","displacement","horsepower","weight","acceleration","year","origin","name"
"1",56.4968944099379,4,228.6,75,948.6,24.955,74,2,"fiat 128"
"2",49.4347826086956,6,508,85,1164.15,25.76,70,1,"ford maverick"
"3",74.1521739130435,4,226.06,71,895.5,23.989,78,2,"volkswagen scirocco"
"4",45.6683229813665,6,589.28,90,1444.5,27.692,78,1,"amc concord"
"5",42.3726708074534,6,571.5,105,1404.45,26.565,73,1,"plymouth valiant"
"6",68.2670807453416,4,172.72,49,840.15,31.395,73,2,"fiat 128"
"7",44.7267080745342,6,571.5,100,1633.5,28.497,77,1,"plymouth volare custom"
"8",61.2049689440994,4,309.88,80,1102.95,26.565,74,1,"ford pinto"
"9",71.7981366459627,4,246.38,78,985.5,22.701,77,2,"volkswagen dasher"
"10",38.8416149068323,6,426.72,120,1719,26.887,76,2,"mercedes-benz 280s"
"11",60.7341614906832,4,396.24,92,1179,23.184,81,1,"dodge aries wagon (sw)"
"12",54.6136645962733,4,396.24,105,1235.25,26.887,78,1,"plymouth sapporo"
"13",50.611801242236,6,586.74,115,1460.25,24.794,79,1,"pontiac lemans v6"
"14",74.3875776397516,4,304.8,74,1185.75,29.463,81,3,"mazda 626"
"15",42.3726708074534,6,434.34,97,1342.8,23.345,75,1,"ford pinto"
"16",35.3105590062112,8,767.08,130,1932.75,23.989,77,1,"mercury cougar brougham"
"17",89.6888198757764,4,226.06,60,885.6,30.268,80,3,"toyota corolla tercel"
"18",30.6024844720497,8,889,175,1845,20.93,73,1,"buick century 350"
"19",35.3105590062112,6,635,72,1421.1,31.395,75,1,"ford maverick"
"20",56.4968944099379,4,287.02,95,1067.4,24.15,70,3,"toyota corona mark ii"
"21",45.1975155279503,8,774.7,145,1541.25,21.252,78,1,"chevrolet monte carlo landau"
"22",66.1484472049689,4,358.14,80,1453.5,32.844,81,2,"peugeot 505s turbo diesel"
"23",61.2049689440994,4,243.84,69,985.05,28.98,72,2,"renault 12 (sw)"
"24",84.9807453416149,4,248.92,66,810,23.184,78,1,"ford fiesta"
"25",92.0428571428571,4,200.66,58,789.75,27.209,81,3,"toyota starlet"
"26",80.2726708074534,4,218.44,65,888.75,24.472,79,3,"maxda glc deluxe"
"27",23.5403726708075,8,779.78,200,1969.2,24.15,70,1,"chevy c20"
"28",72.9751552795031,4,193.04,52,742.05,26.565,74,3,"toyota corona"
"29",56.4968944099379,4,304.8,97,1120.05,24.15,74,3,"honda civic"
"30",51.7888198757764,6,370.84,97,1266.75,23.345,77,3,"datsun 810"
"31",84.7453416149068,4,248.92,70,956.25,27.853,82,1,"mercury lynx l"
"32",37.6645962732919,8,1016,230,1925.1,15.295,73,1,"pontiac grand prix"
"33",35.3105590062112,8,772.16,150,1751.4,20.125,72,1,"amc matador (sw)"
"34",54.1428571428571,4,246.38,54,1014.3,37.835,72,2,"volkswagen type 3"
"35",36.4875776397515,8,772.16,120,1782.9,22.379,76,1,"amc matador"
"36",70.6211180124224,4,370.84,67,1462.5,35.098,80,2,"mercedes-benz 240d"
"37",30.6024844720497,8,767.08,140,1932.3,25.76,72,1,"ford gran torino (sw)"
"38",45.1975155279503,8,678.18,125,1622.25,24.15,79,1,"chevrolet malibu classic (sw)"
"39",32.9565217391304,8,1117.6,215,1940.4,13.685,70,1,"plymouth fury iii"
"40",59.7925465838509,6,426.72,116,1305,20.286,81,3,"toyota cressida"
"41",41.4310559006211,6,571.5,85,1559.25,26.726,81,1,"chrysler lebaron salon"
"42",35.3105590062112,8,889,145,1998,22.54,75,1,"chevrolet bel air"
"43",64.0298136645963,4,302.26,97,1035,23.667,78,3,"datsun 510"
"44",63.5590062111801,4,383.54,90,1327.5,27.853,82,1,"chevrolet camaro"
"45",32.9565217391304,8,767.08,140,2087.1,25.76,74,1,"ford gran torino (sw)"
"46",65.9130434782609,4,246.38,92,1029.6,27.37,72,3,"datsun 510 (sw)"
"47",49.4347826086956,6,505.46,90,1191.6,24.15,70,1,"amc gremlin"
"48",80.7434782608696,4,246.38,78,984.6,25.438,80,2,"audi 4000"
"49",64.7360248447205,4,340.36,95,1152,22.862,78,3,"toyota corona"
"50",42.3726708074534,6,589.28,100,1479.6,24.955,71,1,"amc matador"
"51",25.8944099378882,8,807.72,210,1971.9,21.735,70,1,"dodge d200"
"52",63.5590062111801,4,284.48,88,1188,29.946,82,1,"chevrolet cavalier wagon"
"53",68.2670807453416,4,246.38,78,873,23.345,77,2,"volkswagen rabbit custom"
"54",45.6683229813665,8,807.72,140,1680.75,21.252,78,1,"dodge diplomat"
"55",35.3105590062112,6,635,72,1544.4,33.81,75,1,"mercury monarch"
"56",70.6211180124224,4,248.92,68,969.75,26.565,78,1,"chevrolet chevette"
"57",36.4875776397515,8,889,170,1874.25,18.354,77,1,"chevrolet monte carlo landau"
"58",68.2670807453416,4,228.6,70,871.65,22.54,75,2,"volkswagen rabbit"
"59",37.6645962732919,8,891.54,149,1950.75,23.345,77,1,"ford thunderbird"
"60",68.2670807453416,4,228.6,70,871.65,22.862,76,2,"vw rabbit"
"61",56.0260869565217,4,383.54,85,1284.75,28.336,78,1,"oldsmobile starfire sx"
"62",49.6701863354037,4,340.36,95,1131.75,23.828,78,3,"toyota celica gt liftback"
"63",69.444099378882,4,246.38,71,821.25,19.642,76,2,"volkswagen rabbit"
"64",77.4478260869565,4,302.26,100,1176.75,23.828,81,3,"datsun 200sx"
"65",75.3291925465838,4,342.9,84,1032.75,18.676,82,1,"dodge rampage"
"66",61.2049689440994,4,246.38,75,1019.25,29.302,77,3,"toyota corolla liftback"
"67",32.9565217391304,8,1153.16,220,1959.3,14.49,70,1,"chevrolet impala"
"68",42.3726708074534,6,635,88,1359.45,26.565,73,1,"ford maverick"
"69",42.8434782608696,8,807.72,135,1723.5,24.472,79,1,"dodge st. regis"
"70",67.7962732919255,6,439.42,115,1167.75,18.193,79,1,"chevrolet citation"
"71",42.3726708074534,4,307.34,112,1319.85,23.345,72,2,"volvo 145e (sw)"
"72",81.2142857142857,4,266.7,70,967.5,23.989,79,1,"plymouth horizon tc3"
"73",58.8509316770186,4,294.64,81,999,27.209,76,2,"opel 1900"
"74",76.9770186335404,6,426.72,132,1309.5,18.354,80,3,"datsun 280-zx"
"75",41.6664596273292,6,586.74,165,1550.25,21.574,78,1,"buick regal sport coupe (turbo)"
"76",35.3105590062112,8,807.72,150,1699.65,20.125,73,1,"dodge coronet custom"
"77",89.4534161490683,4,266.7,63,956.25,23.667,82,1,"plymouth horizon miser"
"78",44.7267080745342,3,177.8,97,1048.5,21.735,72,3,"mazda rx2 coupe"
"79",30.6024844720497,8,889,145,1824.75,19.32,76,1,"chevy c10"
"80",109.698136645963,4,218.44,65,949.5,28.819,80,3,"mazda glc"
"81",30.6024844720497,8,807.72,150,1689.75,22.54,76,1,"dodge d100"
"82",50.611801242236,3,203.2,110,1224,21.735,77,3,"mazda rx-4"
"83",50.611801242236,4,307.34,110,1170,20.608,77,2,"bmw 320i"
"84",66.8546583850932,4,383.54,90,1201.5,25.76,79,1,"buick skylark limited"
